Prek Center Name;License Type;3 Year Old Capacity;4 Year Old Capacity;Total Capacity;Test;Grade and Subject;Valid Tests;Proficient Tests;Percent Proficient;Funding Source;Address;Zip Code;City;Full Address;Latitude;Longitude;Census Tract 2000;Census Tract 2010;Census Tract 2020;City Council District;Commission District;Super District;Geopoint
Christ Trinity Christian Academy @ SWPC;DOE;40;40;80.0;;;;;;tuition;3655 Southwind Park Cove;38125;Memphis;3655 Southwind Park Cove Memphis, TN 38125;35.0487841;-89.7643568;47157021342;47157021342;47157021355;;4;;34.153545330042775, -92.50896899945708
St. George's Independent School - Memphis Campus;Unlicensed;120;120;240.0;;;;;;tuition;3749 Kimball Ave;38111;Memphis;3749 Kimball Ave Memphis, TN 38111;35.0921299;-89.937293;47157008200;47157008200;47157008200;4;10;9;34.1535454172718, -92.50896957908854
Breath of Life Preparatory Preschool;DOE;40;40;80.0;;;;;;tuition;3795 Frayser Raleigh Road;38128;Memphis;3795 Frayser Raleigh Road Memphis, TN 38128;35.2219643;-89.9363381;47157020512;47157020512;47157020544;1;6;9;34.15354577328386, -92.50896960444929
Presbyterian Day School - ESP;DOE;40;40;80.0;;;;;;tuition;4025 Poplar Ave.;38111;Memphis;4025 Poplar Ave. Memphis, TN 38111;35.123249;-89.9295839;47157007300;47157007300;47157007300;5;10;9;34.153545503967344, -92.50896956050725
La Petite Academy @ New Allen;DHS;10;10;20.0;;;;;;tuition;4125 New Allen Rd.;38128;Memphis;4125 New Allen Rd. Memphis, TN 38128;35.2390894;-89.9510463;47157020521;47157020521;47157020521;7;6;9;34.15354581753377, -92.50896965669767
Joyful Learning Center;DHS;10;10;20.0;;;;;;tuition;465 East Raines;38109;Memphis;465 East Raines Memphis, TN 38109;35.0343969;-90.0485966;47157022322;47157022322;47157022322;6;11;8;34.15354523872452, -92.50896993334297
True Love Christian Academy LLC;DHS;10;10;20.0;;;;;;tuition;466 E. Raines Road;38109;Memphis;466 E. Raines Road Memphis, TN 38109;35.0349766;-90.0484327;47157022321;47157022321;47157022321;6;11;8;34.153545240343234, -92.50896993292993
St. Agnes Academy - St Dominic School EC;DOE;40;40;80.0;;;;;;tuition;4830 Walnut Grove Rd;38117;Memphis;4830 Walnut Grove Rd Memphis, TN 38117;35.1318304;-89.9006023;47157008600;47157008600;47157008600;5;5;9;34.15354553277692, -92.50896946684874
Holy Rosary Preschool;DOE;60;60;120.0;;;;;;tuition;4841 Park Avenue;38117;Memphis;4841 Park Avenue Memphis, TN 38117;35.1058624;-89.9004961;47157009400;47157009400;47157009400;5;10;9;34.15354546162569, -92.50896946079664
St. Louis Preschool;DOE;40;40;80.0;;;;;;tuition;5192 Shady Grove Road;38117;Memphis;5192 Shady Grove Road Memphis, TN 38117;35.1245019;-89.8882704;47157009600;47157009600;47157009600;2;5;9;34.15354551494283, -92.50896942458535
Woodland Presbyterian School;Unlicensed;10;10;20.0;;;;;;tuition;5217 Park Ave;38119;Memphis;5217 Park Ave Memphis, TN 38119;35.1043817;-89.8883796;47157009500;47157009500;47157009501;2;10;9;34.15354545977937, -92.5089694205274
Christ Trinity Christian Academy @ SR;DOE;40;40;80.0;;;;;;tuition;5225 Shady Ridge Drive;38141;Memphis;5225 Shady Ridge Drive Memphis, TN 38141;35.0052379;-89.846034;47157021753;47157021753;47157021753;;13;;34.15354519578553, -92.50896925915812
Shady Grove;DOE;27;33;60.0;;;;;;Head Start;5360 Shady Grove Rd;38120;Memphis;5360 Shady Grove Rd Memphis, TN 38120;35.1236642;-89.884222;47157009600;47157009600;47157009600;5;10;9;34.15354551338595, -92.50896941105518
Shady Grove;DOE;60;60;120.0;;;;;;Head Start Centers;5360 Shady Grove Rd;38120;Memphis;5360 Shady Grove Rd Memphis, TN 38120;35.1236642;-89.884222;47157009600;47157009600;47157009600;5;10;9;34.15354551338595, -92.50896941105518
Shady Grove;DOE;60;60;120.0;;;;;;Fund 1;5360 Shady Grove Rd;38120;Memphis;5360 Shady Grove Rd Memphis, TN 38120;35.1236642;-89.884222;47157009600;47157009600;47157009600;5;10;9;34.15354551338595, -92.50896941105518
Shady Grove;DOE;0;20;20.0;;;;;;Fund 1;5360 Shady Grove Rd;38120;Memphis;5360 Shady Grove Rd Memphis, TN 38120;35.1236642;-89.884222;47157009600;47157009600;47157009600;5;10;9;34.15354551338595, -92.50896941105518
Buntyn Preschool;DHS;12;12;24.0;;;;;;tuition;561 S. Prescott Street;38111;Memphis;561 S. Prescott Street Memphis, TN 38111;35.1163703;-89.9490477;47157007200;47157007200;47157007200;5;9;9;34.15354548156178, -92.50896962316257
STEAM Tots Academy, Inc.;DHS;8;8;16.0;;;;;;tuition;5680 Winchester Road;38115;Memphis;5680 Winchester Road Memphis, TN 38115;35.0506675;-89.8740814;47157010820;47157010820;47157010820;4;12;8;34.15354531517469, -92.5089693615965
Memphis Jewish Community Center;DHS;50;50;100.0;;;;;;tuition;6560 Poplar Ave.;38138;Memphis;6560 Poplar Ave. Memphis, TN 38138;35.1002767;-89.8444722;47157021310;47157021311;47157021311;2;10;9;34.15354545654393, -92.5089692748778
I Rise Christian Academy;DHS;21;21;42.0;;;;;;tuition;6655 Winchester Road;38115;Memphis;6655 Winchester Road Memphis, TN 38115;35.0478335;-89.8415771;47157021742;47157021746;47157021746;3;13;9;34.1535453133411, -92.50896925381824
Grace Presbyterian Preschool Extended;DHS;10;10;20.0;;;;;;tuition;6671 Yale Road;38134;Bartlett;6671 Yale Road Bartlett, TN 38134;35.2166743;-89.8405895;47157020631;47157020634;47157020634;;3;;34.15354577626417, -92.50896928763613
New Life Learning Academy;DHS;14;14;28.0;;;;;;tuition;6825 East Holmes Road;38141;Memphis;6825 East Holmes Road Memphis, TN 38141;35.0041247;-89.836496;47157021753;47157021753;47157021753;;13;;34.15354519447572, -92.50896922747006
Briarcrest Christian School - Houston Levee Elementary;Unlicensed;66;66;132.0;;;;;;tuition;76 South Houston Levee;38028;Eads;76 South Houston Levee  Eads, TN 38028;35.1227137;-89.7313202;47157021020;47157021020;47157021020;;2;;34.153545538692704, -92.50896890677959
The Learning Journey Academy, Inc.;DHS;10;10;20.0;;;;;;tuition;8229 Rockcreek Parkway;38016;Memphis;8229 Rockcreek Parkway Memphis, TN 38016;35.1916164;-89.7892899;47157021134;47157021142;47157021142;1;2;9;34.15354571695246, -92.5089691130161
Farmington Presbyterian Day School;DHS;16;16;32.0;;;;;;tuition;8245 Farmington Boulevard;38139;Germantown;8245 Farmington Boulevard Germantown, TN 38139;35.0948342;-89.7883612;47157021352;47157021352;47157021352;;4;;34.153545451870556, -92.50896908870325
Memphis Business Academy Gmtwn Comm PreK;DOE;8;72;80.0;TNReady;3rd - ELA;22.0;2.0;9.1;VPK;4442 S. Germantown Road;38125;Memphis;4442 S. Germantown Road Memphis, TN 38125;35.0271097;-89.8219791;47157021745;47157021745;47157021745;;13;;34.153545260120836, -92.5089691846596
Memphis STEM Academy;DOE;9;11;20.0;TNReady;3rd - ELA;31.0;8.0;25.8;Head Start;2180 Frayser Blvd;38127;Memphis;2180 Frayser Blvd Memphis, TN 38127;35.21826399;-89.99169601;47157010210;47157010210;47157010210;7;7;8;34.15354575303699, -92.50896978613359
Georgian Hills Elementary Pre-K;DOE;9;11;20.0;TNReady;3rd - ELA;32.0;8.0;25.0;Head Start;3930 Leweir Street;38127;Memphis;3930 Leweir Street Memphis, TN 38127;35.2329617;-89.9978871;47157010000;47157010000;47157010002;7;6;8;34.1535457921889, -92.50896980977086
Dunbar Elementary School Pre-K;DOE;10;10;20.0;TNReady;3rd - ELA;33.0;6.0;18.2;Head Start;2606 Select Ave.;38114;Memphis;2606 Select Ave. Memphis, TN 38114;35.1067104;-89.9755135;47157006800;47157006800;47157006800;4;9;8;34.153545450255585, -92.5089697082905
Cummings;DOE;9;11;20.0;TNReady;3rd - ELA;34.0;6.0;17.6;Head Start;1037 Cummings St;38106;Memphis;1037 Cummings St Memphis, TN 38106;35.11888627;-90.02811369;47157004700;47157011500;47157011500;4;8;8;34.15354547402404, -92.50896988436955
Delano Elementary Pre-K;DOE;20;20;40.0;TNReady;3rd - ELA;35.0;17.0;48.6;VPK;1716 Delano Ave.;38127;Memphis;1716 Delano Ave. Memphis, TN 38127;35.1994198;-90.0057401;47157010120;47157010120;47157010120;7;8;8;34.1535456988269, -92.50896982829457
Delano Elementary Pre-K;DOE;4;36;40.0;TNReady;3rd - ELA;35.0;17.0;48.6;VPK/Head Start;1716 Delano Ave.;38127;Memphis;1716 Delano Ave. Memphis, TN 38127;35.1994198;-90.0057401;47157010120;47157010120;47157010120;7;8;8;34.1535456988269, -92.50896982829457
Jackson Elementary Pre-K;DOE;10;10;20.0;TNReady;3rd - ELA;36.0;11.0;30.6;Head Start;3925 Wales Avenue;38108;Memphis;3925 Wales Avenue Memphis, TN 38108;35.1844053;-89.9290723;47157008900;47157008900;47157008900;7;6;9;34.153545671672084, -92.50896957224923
Whitney Elementary School Pre-K;DOE;18;22;40.0;TNReady;3rd - ELA;42.0;6.0;14.3;Head Start;1219 Whitney Avenue;38127;Memphis;1219 Whitney Avenue Memphis, TN 38127;35.2074173;-90.0233573;47157010120;47157010120;47157010120;7;8;8;34.15354571752972, -92.50896988812875
Peabody Elementary Pre-K;DOE;0;20;20.0;TNReady;3rd - ELA;42.0;15.0;35.7;F8M;2086 Young Avenue;38104;Memphis;2086 Young Avenue Memphis, TN 38104;35.1199154;-89.9924952;47157006300;47157006300;47157006300;4;9;9;34.15354548334664, -92.5089697671731
Memphis Business Academy PreK;DOE;60;60;120.0;TNReady;3rd - ELA;46.0;14.0;30.4;VPK;1082 Berclair Road;38122;Memphis;1082 Berclair Road Memphis, TN 38122;35.1607891;-89.9100638;47157008700;47157008700;47157008700;5;5;9;34.153545610417005, -92.50896950439888
Newberry Elementary School Pre-K;DOE;9;11;20.0;TNReady;3rd - ELA;46.0;25.0;54.3;Head Start;5540 Newberry Road;38115;Memphis;5540 Newberry Road Memphis, TN 38115;35.0546554;-89.8787582;47157010820;47157010820;47157010820;4;12;8;34.15354532525062, -92.50896937789003
Northaven Elementary School Pre-K;DOE;4;36;40.0;TNReady;3rd - ELA;47.0;6.0;12.8;VPK/Head Start;5157 NORTH CIRCLE ROAD;38127;Memphis;5157 NORTH CIRCLE ROAD Memphis, TN 38127;35.2651384;-90.0424123;47157020100;47157020101;47157020101;;1;;34.1535458722478, -92.50896996362108
Aurora Collegiate;DOE;9;11;20.0;TNReady;3rd - ELA;51.0;8.0;15.7;Head Start;4841 Summer Ave.;38122;Memphis;4841 Summer Ave. Memphis, TN 38122;35.1478973;-89.8994172;47157008600;47157008600;47157008600;2;5;9;34.153545577027884, -92.50896946646978
Oakshire Elementary Pre-K;DOE;4;36;40.0;TNReady;3rd - ELA;57.0;11.0;19.3;Head Start;1765 East Holmes Road;38116;Memphis;1765 East Holmes Road Memphis, TN 38116;35.0050593;-90.0043534;47157022130;47157022130;47157022130;3;12;8;34.15354516639528, -92.50896978104582
Oakshire Elementary Pre-K;DOE;20;20;40.0;TNReady;3rd - ELA;57.0;11.0;19.3;VPK;1765 East Holmes Road;38116;Memphis;1765 East Holmes Road Memphis, TN 38116;35.0050593;-90.0043534;47157022130;47157022130;47157022130;3;12;8;34.15354516639528, -92.50896978104582
Levi Elementary Pre-K;DOE;20;20;40.0;TNReady;3rd - ELA;60.0;9.0;15.0;Head Start;135 West Levi Road;38109;Memphis;135 West Levi Road Memphis, TN 38109;35.0420066;-90.0689409;47157022310;47157022310;47157022310;6;11;8;34.153545255866675, -92.50897000208234
Kingsbury Elementary School Pre-K;DOE;2;18;20.0;TNReady;3rd - ELA;60.0;10.0;16.7;VPK/Head Start;4055 Bayliss Road;38108;Memphis;4055 Bayliss Road Memphis, TN 38108;35.1690002;-89.9253392;47157008800;47157008800;47157008800;5;7;9;34.153545630132726, -92.5089695565598
